23,1636
21,1478
33,1405
244,1366
144,1260
43,1124
362,826
121,628
312,567
172,532
317,400
24,399
615,390
2727,333
200,327
2822,295
306,287
631,260
491,259
375,259
502,256
59,245
399,245
356,243
805,237
404,224
253,219
650,218
2149,217
283,216
110,216
123,213
270,208
11810,206
526,205
2726,203
617,202
469,197
2786,197
1038,197
262,196
429,195
511,187
379,186
255,178
433,173
15,163
598,163
554,159
310,154
20,153
902,152
572,151
1610,151
727,148
370,147
764,142
454,141
501,137
122,134
436,133
513,132
254,130
621,129
754,128
441,126
1044,125
1290,125
589,125
3513,124
610,124
1227,124
192,120
411,119
81,116
1746,112
681,111
599,111
739,110
147,110
1574,109
345,108
2251,107
304,107
1579,106
1947,106
1289,105
625,104
752,104
1519,103
326,103
378,100
624,98
1692,98
4494,96
757,94
1913,93
2852,93
498,92
928,92
850,90
2119,90
686,90
1719,89
882,88
611,88
129,88
1728,88
13749,87
233,87
903,86
1448,86
564,85
95,83
247,83
759,83
576,82
369,81
346,81
522,80
1315,80
1191,79
802,78
523,77
859,77
2150,76
2386,75
1997,74
934,74
331,74
1364,73
478,73
5735,73
593,73
1510,73
1648,72
108,72
1957,71
280,70
473,69
3450,68
286,68
2269,68
2811,67
2499,67
1794,66
374,66
1136,66
2228,66
2430,66
981,65
745,64
241,64
289,64
900,64
94,63
111,63
1181,63
323,62
1703,62
989,62
106,62
530,61
118,61
972,60
4127,60
1930,60
52,60
1491,59
3335,58
1459,58
329,57
916,57
1673,57
1118,57
72,56
1415,56
847,55
517,55
3033,55
167,55
350,53
1119,53
251,53
3819,53
76,53
1057,53
2474,52
1926,52
1945,52
8034,52
531,52
909,51
2502,51
265,51
2159,51
1417,51
683,50
590,50
476,50
2956,49
1187,49
520,49
1150,49
1017,49
1779,49
690,48
1925,48
2621,48
11840,48
488,48
124,48
10152,48
2190,47
1948,47
1408,47
931,47
775,47
1942,47
1922,47
3320,46
1477,46
2056,46
364,46
2157,45
460,45
3922,45
80,45
482,45
2989,45
2466,44
925,44
3147,44
1538,44
1735,44
103,43
908,43
446,43
2490,43
268,43
3029,43
112,43
533,43
1468,42
468,42
1310,42
519,42
597,42
1171,42
220,42
1102,41
1643,41
1683,41
1984,41
2148,41
440,41
1060,40
99,40
634,40
3094,40
830,40
3531,40
552,40
1328,39
420,39
2205,39
15564,39
1165,39
2187,39
4412,39
669,39
2389,39
5657,39
2835,38
2078,38
675,38
421,38
153,38
