,word,freq
958,sisters,42
2791,beyond,42
108,“jane,42
1114,struck,42
2455,forget,42
3541,fast,42
3592,thoughts,42
2584,change,41
3328,girls,41
706,book,41
1441,gateshead,41
2087,during,41
569,coming,41
4250,form,41
842,moon,41
463,bear,41
804,above,40
562,glad,40
1566,glance,40
1947,exclaimed,40
1090,presence,40
1496,silent,40
3217,oh,40
1408,added,40
2732,hard,40
633,really,40
1585,spirit,39
1630,please,39
3036,bread,39
1377,ere,39
675,feet,39
399,amongst,39
2336,“my,39
4354,“he,39
695,clear,39
2366,strength,39
1560,yes,39
2097,“do,39
586,georgiana,39
1278,french,39
419,reader,39
468,mere,39
461,bright,39
3187,“how,38
14899,rivers,38
1324,“if,38
2321,sweet,38
3728,need,38
1811,church,38
2532,you?”,38
1058,mother,38
2109,“then,38
2566,lived,38
1782,past,37
1531,state,37
653,manner,37
1147,business,37
2741,tone,37
556,further,37
1418,dead,37
2230,late,37
345,probably,37
2883,seek,37
506,works,37
1726,soul,37
2137,conversation,37
709,afternoon,37
1468,soft,37
3617,sky,37
6005,jane?”,36
2530,“not,36
1032,ought,36
14672,hannah,36
2555,expected,36
1434,chamber,36
1222,closed,36
1930,filled,36
3705,hardly,36
4278,bent,36
2099,sleep,36
1350,seat,36
137,fair,35
3149,tall,35
1010,ten,35
3815,wood,35
736,speaking,35
2453,help,35
14,use,34
2117,matter,34
2223,placed,34
2799,usual,34
274,truth,34
530,taking,34
3465,loved,34
1369,reply,34
2043,sitting,34
1413,send,34
1109,presently,34
1206,also,34
1384,existence,34
5351,approached,33
1115,suddenly,33
291,bad,33
2878,hours,33
2257,england,33
2481,true,33
146,aid,33
7992,fortune,33
854,trees,33
5307,rising,33
3914,different,33
3056,trouble,33
3407,brow,33
2052,five,33
2050,arm,33
1111,wonder,33
3020,front,33
2144,dressed,33
3246,“mr,33
1227,blood,33
130,ear,33
175,men,33
1410,pleasant,32
1724,die,32
1847,family,32
3556,meet,32
1110,deal,32
697,glass,32
1768,handsome,32
1303,gentleman,32
616,distance,32
3599,sun,32
1150,money,32
1875,tears,32
5119,living,32
3455,walked,32
1212,“did,32
717,scene,31
1754,interest,31
2196,calm,31
2842,quietly,31
2,gutenberg,31
3939,schoolroom,31
3338,dress,31
114,none,31
554,rain,31
1008,four,31
1155,children,31
3015,watched,31
1319,rise,31
3116,sight,31
5721,rich,30
2039,became,30
1231,somewhat,30
2347,watch,30
7126,laugh,30
1557,dared,30
3248,letter,30
1013,age,30
3845,forehead,30
41,terms,30
837,broken,30
2449,afraid,30
3250,ago,30
522,future,30
1666,broke,30
1940,along,30
1937,shook,30
1311,servant,30
2670,blue,30
275,narrow,30
2233,flowers,30
2177,cheek,30
1888,pity,29
1085,subject,29
1062,times,29
3848,grave,29
3847,countenance,29
1584,real,29
6751,case,29
4320,lost,29
318,clean,29
3789,gallery,29
631,natural,29
1582,else,29
1938,effort,29
1897,lifted,29
3348,observed,29
579,nurse,28
488,bell,28
6336,millcote,28
5376,offer,28
4298,replied,28
2901,task,28
1136,certainly,28
3058,listen,28
2826,below,28
2490,beautiful,28
3949,dream,28
939,feared,28
2834,tired,28
1650,delight,28
7978,brother,28
1816,led,28
3518,understand,28
611,saying,28
858,wall,28
1646,beauty,28
3753,“yes.”,27
9226,dent,27
4201,garden,27
1791,grew,27
3174,ready,27
711,offered,27
3538,smiled,27
2921,breakfast,27
1939,steps,27
1830,dare,27
906,hearth,27
9233,eshton,27
1643,carriage,27
1986,means,27
1464,foot,27
3104,me?”,27
1070,flesh,27
1783,o’clock,27
3839,showed,27
3667,tea,27
4049,others,27
17534,electronic,27
2630,friends,27
3244,proceeded,27
1063,week,27
2127,to-night,27
