,word,freq
1421,quiet,38
2250,getting,38
2007,friends,38
809,lest,38
2010,idea,37
2114,papers,37
5,dracula,37
483,outside,37
3559,westenra,37
541,high,37
2385,brought,37
4017,mother,37
1300,mouth,37
179,train,37
2117,study,36
2449,earth,36
3034,task,36
2039,learn,36
1807,silent,36
1869,seeing,36
7672,un-dead,36
1259,low,36
1362,ground,36
659,land,36
172,early,36
736,comfort,36
2583,purpose,36
632,yes,35
2003,glad,35
4191,tomb,35
1366,placed,35
2267,quickly,35
1555,raised,35
1663,save,34
3302,danger,34
3303,wake,34
608,expected,34
1841,forehead,34
756,taking,34
2614,letters,34
444,further,34
712,state,34
346,talk,34
1022,deep,34
9962,works,34
411,slept,34
1581,broken,34
2460,wonder,34
822,fire,34
1378,shock,33
2922,girl,33
684,lady,33
671,somewhat,33
613,usual,33
1427,doing,33
1531,moonlight,33
785,feeling,33
1129,cut,33
5094,coffin,33
544,black,33
3007,promise,33
417,sleeping,33
3171,cried,33
1921,written,33
2737,manner,33
4625,nature,33
94,act,33
2426,brave,33
1837,thin,33
1078,turn,33
1276,beside,33
2872,sad,32
3698,grave,32
586,beginning,32
938,speaking,32
1912,hours,32
1798,send,32
2672,bad,32
1731,table,32
209,possible,32
1003,really,32
293,struck,32
1192,hold,32
985,order,32
1558,arms,32
279,having,32
652,bring,32
2,gutenberg,31
1262,less,31
3257,herself,31
838,seat,31
952,road,31
658,beautiful,31
857,bag,31
3699,can't,31
1265,return,30
703,else,30
722,shook,30
683,wife,30
2021,thank,30
842,sitting,30
2363,knows,30
758,neck,30
668,making,30
882,pointed,30
919,whose,30
485,river,30
970,shut,30
2986,met,30
1479,awful,30
1714,wall,30
1161,smile,30
1217,forward,30
1167,pause,30
3932,churchyard,30
216,east,30
1084,ears,30
1083,nor,29
1695,holding,29
836,driver,29
696,themselves,29
2759,hall,29
4493,mist,29
197,feared,29
1596,notice,29
4609,experience,29
2314,man's,29
1894,ah,29
4069,ye,29
82,start,29
2253,yesterday,28
775,sake,28
737,effect,28
1966,locked,28
1344,across,28
187,wonderful,28
779,waiting,28
3015,horror,28
2004,interest,28
577,years,28
470,wide,28
2355,mad,28
54,country,28
1689,fixed,28
991,run,28
400,dog,28
2008,past,28
639,followed,28
2049,reason,28
1600,mine,28
901,touched,27
2053,happened,27
2202,live,27
705,means,27
3187,empty,27
1382,waited,27
2913,laugh,27
2585,thus,27
1640,dawn,27
287,search,27
1346,master,27
3283,become,27
2804,dust,27
10655,electronic,27
233,pretty,27
1712,eat,27
5048,sunrise,27
6146,flowers,27
443,move,27
5152,breathing,26
434,started,26
1404,sudden,26
805,awake,26
680,questions,26
3553,god's,26
1386,somewhere,26
296,hardly,26
2548,begin,26
4433,anxious,26
2095,whatever,26
1005,point,26
4102,wrong,26
3136,woke,26
981,bent,26
1040,arm,26
3893,telegram,26
3581,show,26
3865,art,26
578,ago,26
6252,wolf,26
2275,safe,25
880,sign,25
1157,added,25
573,certainly,25
244,rather,25
243,dinner,25
3743,didn't,25
1886,below,25
1994,somehow,25
3903,harbour,25
1901,entered,25
1852,sharp,25
2266,flies,25
4363,attendant,25
2278,bear,24
2750,deal,24
3656,september,24
1780,please,24
2999,loved,24
1898,tired,24
316,known,24
349,four,24
873,vampire,24
1006,beyond,24
3049,lock,24
1538,terror,24
1069,noticed,24
1057,evening,24
4750,form,24
1639,horrible,24
1130,darkness,24
5000,fog,24
1438,places,24
475,subject,24
2277,telling,24
1759,prepared,24
1286,bright,24
40,terms,24
3138,paper,24
3623,doctor,24
420,breakfast,24
967,swept,24
3282,pity,24
1292,replied,24
2044,forgive,23
1139,grim,23
153,spoken,23
1541,remain,23
2652,varna,23
2744,escape,23
1505,during,23
7082,piccadilly,23
439,sit,23
1249,lying,23
2027,common,23
730,evil,23
1830,opportunity,23
1060,fact,23
2611,satisfied,23
989,different,23
903,forget,23
2924,yours,23
3363,lose,23
2816,fair,23
484,edge,23
739,knees,23
1257,thinking,23
2696,fresh,23
2209,lie,23
2161,carfax,23
2349,rushed,23
2537,peace,22
4183,cliff,22
1755,yourself,22
776,writing,22
791,good-bye,22
1263,turning,22
1743,seemingly,22
1583,showed,22
1360,straight,22
643,returned,22
4319,account,22
1742,lit,22
18,states,22
2383,surely,22
2136,habit,22
2350,trying,22
1891,children,22
2145,necessary,22
886,meant,22
5947,helsing's,22
10650,foundation,22
1155,dogs,22
3260,monster,22
1608,stone,22
1725,floor,22
535,nearly,22
2322,unless,22
1137,carried,22
4939,mate,22
1718,nay,22
213,leaving,22
1950,rooms,22
685,received,22
1784,hawkins,22
3293,action,22
1952,glass,22
1116,growing,22
2840,lies,22
719,business,22
401,howling,22
634,smiled,22
3264,breast,22
5177,figure,22
5720,ourselves,22
176,arrived,21
845,name,21
4027,agreement,21
1320,putting,21
2285,shoulder,21
223,noble,21
801,trees,21
4613,captain,21
2098,remained,21
336,town,21
2909,truth,21
341,enter,21
3139,surprise,21
5518,grow,21
894,eye,21
1967,number,21
1876,breath,21
62,october,21
1453,fine,21
2932,bitter,21
2252,wishes,21
619,front,21
2740,dread,21
498,short,21
2546,father,21
1565,dreadful,21
33,copy,21
2660,second,21
1545,break,20
1998,law,20
1164,stop,20
3430,tears,20
2778,corner,20
2230,presently,20
2425,veins,20
2020,alas,20
345,memory,20
2948,paused,20
2387,garlic,20
1862,cheeks,20
90,copyright,20
884,difficulty,20
1138,thoughts,20
2869,lives,20
456,sometimes,20
460,top,20
545,hair,20
1147,clouds,20
3031,upset,20
1394,softly,20
854,quietly,20
3980,tea,20
3692,broke,20
795,grey,20
1655,drawn,20
1822,finished,20
1691,stepped,20
5331,weak,20
1903,dare,20
738,finally,20
8282,souls,20
2019,makes,20
915,green,20
2141,working,20
1579,windows,20
606,ways,20
1726,steps,20
784,itself,20
2391,touch,20
808,odd,20
3387,destroy,20
932,fears,20
2143,facts,20
440,carriage,20
3125,sacred,20
2883,real,19
5959,professor's,19
6561,lifted,19
1501,moving,19
416,guess,19
4235,harm,19
2210,seek,19
689,money,19
3758,earnest,19
2642,secret,19
3084,rate,19
3781,that's,19
2839,calm,19
399,dreams,19
655,journey,19
583,five,19
2713,movement,19
934,drove,19
749,gravely,19
1016,falling,19
2812,presence,19
201,station,19
1778,pray,19
2666,carefully,19
288,books,19
7681,stake,19
353,south,19
1361,complete,19
1326,handed,19
3594,news,19
3801,kissed,19
780,whether,19
851,often,19
4381,belief,19
1054,sank,19
4377,report,19
2530,record,19
3574,keeping,18
194,walk,18
2854,warning,18
787,book,18
1722,passage,18
1847,meeting,18
2064,spirits,18
5166,clue,18
1537,living,18
6492,information,18
9960,galatz,18
3566,jonathan's,18
1264,worse,18
71,english,18
733,evident,18
1517,ring,18
3009,nodded,18
1585,sky,18
1330,caught,18
1899,dream,18
747,therefore,18
3078,minute,18
1363,note,18
15,anywhere,18
757,crucifix,18
1232,sense,18
17,united,18
976,flame,18
166,p,18
486,clear,18
6336,ere,18
2271,wrote,18
365,latter,18
3750,bit,18
3179,cry,18
963,fallen,18
2270,pulled,17
935,although,17
245,supper,17
1685,freely,17
1500,following,17
4464,ill,17
9671,czarina,17
2834,sane,17
1198,several,17
57,using,17
2186,looks,17
3572,wants,17
5025,knife,17
