name,total_words,distinct_words,alpha,C
Oxirzamon nishonalari,64041,17911,0.7208794705928278,52.0983401960652
Oʻtgan kunlar,88427,22471,0.7140386627853522,58.44812062930286
Tom Soyer...,62184,14760,0.7500594402682962,40.632605002598524
